time_sec,ear,mar,pitch,yaw,roll,drowsy,yawning,distracted,phone,fatigue_score
8.192,0.276,0.005,6.76,-5.45,-1.51,0,0,0,0,0.0
8.268,0.301,0.013,8.63,-5.85,-2.1,0,0,0,0,0.0
8.287,0.303,0.004,6.39,-5.47,-5.73,0,0,0,0,0.0
8.598,0.329,0.006,6.5,-5.57,-0.85,0,0,0,0,0.0
8.618,0.276,0.005,3.87,-7.12,-7.43,0,0,0,0,0.0
8.649,0.266,0.005,5.66,-5.19,-5.0,0,0,0,0,0.0
8.683,0.27,0.004,5.87,-5.86,-4.41,0,0,0,0,0.0
8.84,0.275,0.007,3.66,-6.14,-4.22,0,0,0,0,0.0
8.859,0.265,0.003,5.31,-5.04,-3.06,0,0,0,0,0.0
8.876,0.303,0.011,5.44,-5.58,-3.28,0,0,0,0,0.0
8.912,0.304,0.007,7.27,-4.92,-1.52,0,0,0,0,0.0
9.096,0.286,0.012,5.0,-4.3,-0.15,0,0,0,0,0.0
9.116,0.29,0.009,4.65,-5.09,-4.81,0,0,0,0,0.0
9.135,0.314,0.006,3.47,-4.43,-4.29,0,0,0,0,0.0
9.163,0.312,0.009,5.03,-5.46,-3.42,0,0,0,0,0.0
9.313,0.287,0.006,4.47,-5.37,-4.84,0,0,0,0,0.0
9.336,0.28,0.006,4.72,-5.07,-0.75,0,0,0,0,0.0
9.359,0.279,0.007,2.85,-4.97,-3.18,0,0,0,0,0.0
9.391,0.288,0.004,2.0,-5.64,-5.17,0,0,0,0,0.0
9.523,0.297,0.005,2.84,-5.37,-4.99,0,0,0,0,0.0
9.542,0.283,0.004,3.95,-6.42,-2.93,0,0,0,0,0.0
9.574,0.289,0.004,4.35,-5.16,-3.82,0,0,0,0,0.0
9.592,0.307,0.01,4.46,-5.08,-1.87,0,0,0,0,0.0
9.709,0.247,0.004,4.54,-5.35,-3.35,0,0,0,0,1.1
9.739,0.145,0.006,2.54,-4.89,-5.15,0,0,0,0,14.1
9.755,0.193,0.01,1.93,-5.04,-1.18,0,0,0,0,9.1
9.773,0.235,0.007,2.12,-4.65,-4.15,0,0,0,0,4.8
9.891,0.246,0.009,3.89,-5.12,-1.24,0,0,0,0,4.3
9.908,0.293,0.007,1.74,-5.33,-2.18,0,0,0,0,0.0
9.944,0.273,0.011,1.14,-4.29,-3.61,0,0,0,0,0.0
9.979,0.298,0.009,0.05,-3.51,-2.18,0,0,0,0,0.0
10.111,0.304,0.009,-2.0,-4.24,-3.87,0,0,0,0,0.0
10.14,0.322,0.011,-2.18,-3.36,-1.35,0,0,0,0,0.0
10.156,0.31,0.009,-0.87,-2.74,-5.28,0,0,0,0,0.0
10.175,0.306,0.006,0.15,-2.35,-1.45,0,0,0,0,0.0
10.299,0.315,0.012,-3.1,-2.28,-2.37,0,0,0,0,0.0
10.324,0.289,0.005,-2.4,-2.37,-5.21,0,0,0,0,0.0
